"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
33,"01-04-2019","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",9.0,2790432.0,72.56,41.12,31.44,8101.58,8130.68,"",""
34,"01-04-2019","Index Funds","Open ended Schemes","Other Schemes",25.0,288137.0,261.66,243.72,17.93,5286.34,5255.27,"",""
35,"01-04-2019","GOLD ETF","Open ended Schemes","Other Schemes",12.0,319863.0,4.53,14.23,-9.7,4594.06,4479.92,"",""
36,"01-04-2019","Other ETFs","Open ended Schemes","Other Schemes",67.0,906290.0,3007.12,7266.42,-4259.29,131188.71,132591.42,"",""
37,"01-04-2019","Fund of funds investing overseas","Open ended Schemes","Other Schemes",29.0,125594.0,53.93,33.31,20.62,1951.05,1913.09,"",""
38,"01-04-2019","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",800.0,916839.0,384.45,18028.87,-17644.42,141170.58,149375.47,"",""
39,"01-04-2019","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",41.0,147978.0,0.0,607.67,-607.67,5572.42,5771.12,"",""
40,"01-04-2019","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",9.0,89.0,0.0,314.72,-314.72,2348.65,2661.97,"",""
41,"01-04-2019","Other Debt","Close Ended Schemes","Income/Debt Oriented Schemes",62.0,134275.0,0.0,382.95,-382.95,5509.75,5841.58,"",""
42,"01-04-2019","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",26.0,504150.0,0.0,48.09,-48.09,4506.04,4564.47,"",""
43,"01-04-2019","Others","Close Ended Schemes","Growth/Equity Oriented Schemes",102.0,1290925.0,0.0,331.18,-331.18,29654.46,29919.17,"",""
44,"01-04-2019","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",""
45,"01-04-2019","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",27.0,4636.0,0.15,52.56,-52.41,1919.17,1992.83,"",""
46,"01-04-2019","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",1.0,12018.0,0.0,0.0,0.0,481.47,480.75,"",""
47,"01-04-2019","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",""
48,"01-04-2020","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",30.0,119105.0,340423.21,337820.41,2602.8,82964.89,82999.94,"",""
49,"01-04-2020","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",39.0,1860099.0,370345.02,301497.01,68848.01,405393.37,413091.93,"",""
50,"01-04-2020","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",29.0,627229.0,11333.99,14753.32,-3419.32,69050.44,72346.81,"",""
51,"01-04-2020","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",26.0,935379.0,8576.46,15417.53,-6841.07,74518.89,79670.48,"",""
52,"01-04-2020","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,349718.0,15886.69,17097.04,-1210.35,56152.46,59512.41,"",""
53,"01-04-2020","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",28.0,349865.0,9864.03,12173.08,-2309.05,91266.33,92526.41,"",""
54,"01-04-2020","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",18.0,201746.0,265.45,6628.97,-6363.52,21351.49,25943.86,"",""
55,"01-04-2020","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",14.0,108280.0,311.62,502.52,-190.9,9648.39,9657.48,"",""
56,"01-04-2020","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",2.0,27762.0,354.77,52.83,301.94,1988.16,1817.48,"",""
57,"01-04-2020","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",29.0,210442.0,911.92,2067.02,-1155.11,16968.15,17565.64,"",""
58,"01-04-2020","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,393758.0,9906.53,5737.6,4168.92,86292.53,82721.68,"",""
59,"01-04-2020","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",23.0,398853.0,268.07,19507.05,-19238.98,35222.36,49129.88,"",""
60,"01-04-2020","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",19.0,182944.0,12838.09,6276.89,6561.2,79241.92,75194.47,"",""
61,"01-04-2020","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,138714.0,2845.81,330.19,2515.61,12014.59,10333.79,"",""
62,"01-04-2020","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",4.0,38068.0,139.39,46.16,93.23,1052.05,982.23,"",""
63,"01-04-2020","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",7.0,149920.0,3499.35,4431.22,-931.87,31615.28,32093.47,"",""
64,"01-04-2020","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",34.0,9383642.0,3073.15,1833.0,1240.15,129643.34,119830.19,"",""
65,"01-04-2020","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",29.0,10197864.0,3155.05,1463.75,1691.31,130343.0,119861.4,"",""
66,"01-04-2020","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,4774366.0,1075.2,728.86,346.33,49160.06,45466.77,"",""
67,"01-04-2020","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",26.0,6541868.0,1512.39,1015.23,497.16,74421.19,69372.88,"",""
68,"01-04-2020","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",23.0,5164105.0,1156.86,772.53,384.33,40482.72,38208.59,"",""
69,"01-04-2020","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",6.0,470211.0,14.92,19.76,-4.83,3649.63,3442.4,"",""
70,"01-04-2020","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",17.0,4132796.0,689.9,548.57,141.33,45535.08,42292.85,"",""
71,"01-04-2020","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",22.0,3622199.0,1287.62,544.44,743.19,44818.7,41368.45,"",""
72,"01-04-2020","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",95.0,6623439.0,1526.11,1104.54,421.58,56802.16,53129.55,"",""
73,"01-04-2020","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",42.0,12383758.0,1025.14,272.72,752.42,85214.38,78514.1,"",""
74,"01-04-2020","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",22.0,381991.0,52.49,638.38,-585.89,10797.67,11109.09,"",""
75,"01-04-2020","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",33.0,5268838.0,914.97,1766.76,-851.78,109858.47,104859.72,"",""
76,"01-04-2020","Dynamic Asset Allocation/Balanced Advantage","Open ended Schemes","Hybrid Schemes",23.0,2664822.0,745.46,1209.31,-463.85,83433.04,79819.06,"",""
77,"01-04-2020","Multi Asset Allocation","Open ended Schemes","Hybrid Schemes",8.0,632097.0,89.65,118.18,-28.52,10749.95,11272.11,"",""
78,"01-04-2020","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",25.0,274976.0,10733.29,4146.24,6587.05,58704.98,54953.05,"",""
79,"01-04-2020","Equity Savings","Open ended Schemes","Hybrid Schemes",23.0,328173.0,50.56,502.78,-452.22,11424.25,11417.19,"",""
80,"01-04-2020","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",24.0,2545675.0,116.43,71.86,44.56,9248.59,8789.43,"",""
81,"01-04-2020","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",9.0,2891727.0,45.32,6.91,38.41,7769.32,7381.41,"",""
82,"01-04-2020","Index Funds","Open ended Schemes","Other Schemes",35.0,634346.0,1025.96,391.12,634.84,9952.1,8823.99,"",""
83,"01-04-2020","GOLD ETF","Open ended Schemes","Other Schemes",11.0,566320.0,867.24,136.31,730.93,9198.09,8515.4,"",""
84,"01-04-2020","Other ETFs","Open ended Schemes","Other Schemes",76.0,2003382.0,3471.54,3650.99,-179.45,164051.02,152256.53,"",""
85,"01-04-2020","Fund of funds investing overseas","Open ended Schemes","Other Schemes",28.0,199688.0,244.51,138.97,105.54,3282.22,3007.49,"",""
86,"01-04-2020","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",703.0,780518.0,56.18,8188.09,-8131.91,133670.36,137943.17,"",""
87,"01-04-2020","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",28.0,100866.0,0.0,390.65,-390.65,3892.37,4041.15,"",""
88,"01-04-2020","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",9.0,89.0,0.0,0.0,0.0,2398.4,2394.93,"",""
89,"01-04-2020","Other Debt","Close Ended Schemes","Income/Debt Oriented Schemes",29.0,68849.0,0.0,596.57,-596.57,2873.34,3308.51,"",""
90,"01-04-2020","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",25.0,470069.0,0.0,5.22,-5.22,3438.6,3216.51,"",""
91,"01-04-2020","Others","Close Ended Schemes","Growth/Equity Oriented Schemes",84.0,1226154.0,0.0,99.46,-99.46,23537.63,22282.06,"",""
92,"01-04-2020","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",""
93,"01-04-2020","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",23.0,3879.0,0.02,0.84,-0.82,393.78,412.31,"",""
94,"01-04-2020","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",""
95,"01-04-2020","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",""
96,"01-04-2021","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",30.0,125483.0,236895.02,218402.94,18492.07,89727.38,91267.45,0.0,0.0
97,"01-04-2021","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",39.0,2176989.0,252669.62,211162.15,41507.47,379465.5,393985.42,0.0,0.0
98,"01-04-2021","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",27.0,644885.0,24494.33,15575.81,8918.52,96027.49,96197.6,0.0,0.0
99,"01-04-2021","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",24.0,1174999.0,31210.41,21888.36,9322.05,138670.63,133133.75,2.0,11.92
100,"01-04-2021","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",18.0,489845.0,39475.79,19189.17,20286.62,110401.4,104074.8,0.0,0.0
101,"01-04-2021","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",26.0,640697.0,7197.07,5950.55,1246.52,142607.64,141062.97,1.0,11.24
102,"01-04-2021","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",15.0,284745.0,1249.57,909.93,339.64,30529.33,30158.08,6.0,327.4037
103,"01-04-2021","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",13.0,124084.0,329.13,229.84,99.3,10572.94,10427.2,1.0,15.55
104,"01-04-2021","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",2.0,29376.0,33.45,27.01,6.44,2602.37,2584.42,0.0,0.0
105,"01-04-2021","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,262088.0,377.76,2480.77,-2103.01,24195.02,24794.62,2.0,128.64
106,"01-04-2021","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,720080.0,6175.69,8056.05,-1880.36,159433.22,159712.82,0.0,0.0
107,"01-04-2021","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",16.0,287615.0,326.91,484.27,-157.36,25385.19,25351.3,8.0,228.3159
108,"01-04-2021","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,382666.0,3457.39,3608.3,-150.91,120217.63,119430.99,0.0,0.0
109,"01-04-2021","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,210495.0,2301.24,654.13,1647.11,18038.31,17827.0,0.0,0.0
110,"01-04-2021","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",4.0,56276.0,30.41,52.7,-22.3,1494.02,1498.54,0.0,0.0
111,"01-04-2021","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",10.0,253438.0,8486.37,5134.69,3351.68,69182.81,66863.89,0.0,0.0
112,"01-04-2021","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",10.0,1405277.0,347.55,505.25,-157.7,19846.35,19738.07,0.0,0.0
113,"01-04-2021","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",32.0,10663232.0,3614.58,3289.64,324.94,178102.38,177617.8,0.0,0.0
114,"01-04-2021","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",28.0,5087349.0,1795.53,1087.68,707.85,77948.66,76694.26,0.0,0.0
115,"01-04-2021","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,6771333.0,2906.38,1948.22,958.17,118825.34,116825.19,0.0,0.0
116,"01-04-2021","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,5130378.0,1711.16,1527.19,183.96,72796.6,70777.4,0.0,0.0
117,"01-04-2021","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",7.0,502342.0,69.39,72.39,-3.0,6802.73,6752.16,0.0,0.0
