"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
891,"01-02-2022","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",14.0,2651738.0,1169.11,583.84,585.27,42784.36,43982.27,0.0,0.0
892,"01-02-2022","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",32.0,12313521.0,4472.82,2134.24,2338.58,216794.5,221872.93,0.0,0.0
893,"01-02-2022","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,6537977.0,2981.87,946.29,2035.58,103409.11,105755.04,0.0,0.0
894,"01-02-2022","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,8539929.0,3427.45,1473.13,1954.32,152548.49,155730.28,0.0,0.0
895,"01-02-2022","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,7648110.0,2746.25,1316.51,1429.74,100406.66,103996.06,0.0,0.0
896,"01-02-2022","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",8.0,561626.0,244.6,88.1,156.5,9421.98,9536.85,0.0,0.0
897,"01-02-2022","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",22.0,3989205.0,1492.86,655.82,837.04,75627.0,77609.63,0.0,0.0
898,"01-02-2022","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",26.0,4933396.0,2879.08,923.53,1955.55,92851.3,94308.05,0.0,0.0
899,"01-02-2022","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",117.0,11682935.0,6255.25,2814.25,3441.0,143324.6,145538.95,0.0,0.0
900,"01-02-2022","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",40.0,13540673.0,2175.39,1077.28,1098.11,141035.59,144887.96,0.0,0.0
901,"01-02-2022","Flexi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",31.0,11520089.0,5932.6,2059.03,3873.56,216341.22,221329.59,0.0,0.0
902,"01-02-2022","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",21.0,500024.0,672.6,723.51,-50.9,20600.27,20825.94,1.0,0.0
903,"01-02-2022","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",33.0,5047228.0,3068.07,2157.95,910.11,144280.95,146840.97,2.0,9.3273
904,"01-02-2022","Dynamic Asset Allocation/Balanced Advantage Fund","Open ended Schemes","Hybrid Schemes",26.0,4172282.0,4442.64,2324.65,2117.99,173638.8,176087.94,0.0,0.0
905,"01-02-2022","Multi Asset Allocation Fund","Open ended Schemes","Hybrid Schemes",10.0,786721.0,452.27,247.69,204.57,18933.02,20254.77,0.0,0.0
906,"01-02-2022","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",25.0,508631.0,7012.64,7348.55,-335.91,101515.16,116408.23,0.0,0.0
907,"01-02-2022","Equity Savings Fund","Open ended Schemes","Hybrid Schemes",22.0,350778.0,996.6,665.54,331.06,16572.23,17109.25,2.0,25.8129
908,"01-02-2022","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",25.0,2679439.0,194.51,86.78,107.73,15931.06,16232.4,0.0,0.0
909,"01-02-2022","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",10.0,2891704.0,95.03,37.8,57.24,12770.41,13009.95,0.0,0.0
910,"01-02-2022","Index Funds","Open ended Schemes","Other Schemes",78.0,2342493.0,6736.84,989.06,5747.78,54737.46,52099.86,0.0,0.0
911,"01-02-2022","GOLD ETF","Open ended Schemes","Other Schemes",11.0,3774398.0,244.49,492.55,-248.06,18727.93,18193.63,0.0,0.0
912,"01-02-2022","Other ETFs","Open ended Schemes","Other Schemes",119.0,9785826.0,21531.24,10740.06,10791.18,391436.12,391859.59,0.0,0.0
913,"01-02-2022","Fund of funds investing overseas","Open ended Schemes","Other Schemes",44.0,1244247.0,592.95,362.49,230.46,22072.04,22280.4,0.0,0.0
914,"01-02-2022","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",289.0,187938.0,202.76,0.06,202.7,48296.49,48108.46,0.0,0.0
915,"01-02-2022","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",13.0,30733.0,0.0,0.0,0.0,1610.69,1613.86,0.0,0.0
916,"01-02-2022","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",8.0,80.0,0.0,0.0,0.0,1973.25,1964.39,0.0,0.0
917,"01-02-2022","Other Debt Scheme","Close Ended Schemes","Income/Debt Oriented Schemes",1.0,717.0,0.0,0.0,0.0,59.9,60.41,0.0,0.0
918,"01-02-2022","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",20.0,315996.0,0.0,37.5,-37.5,3664.58,3787.58,0.0,0.0
919,"01-02-2022","Other Equity Schemes","Close Ended Schemes","Growth/Equity Oriented Schemes",18.0,132558.0,0.0,22.91,-22.91,4937.3,5124.21,0.0,0.0
920,"01-02-2022","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,"01-02-2022","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",21.0,3081.0,103.97,6.97,97.0,596.37,567.64,0.0,0.0
922,"01-02-2022","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
923,"01-02-2022","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,"01-02-2023","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",32.0,628847.0,401879.05,398933.21,2945.84,103090.56,125487.4,0.0,0.0
925,"01-02-2023","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",36.0,1786569.0,275599.33,286903.58,-11304.25,386489.73,434140.64,0.0,0.0
926,"01-02-2023","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,642322.0,11619.16,14049.13,-2429.97,88805.43,89974.07,0.0,0.0
927,"01-02-2023","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,955013.0,6006.21,7909.95,-1903.74,92214.63,93322.18,1.0,0.0
928,"01-02-2023","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,427033.0,20864.19,21406.58,-542.38,118619.65,119798.63,0.0,0.0
929,"01-02-2023","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",25.0,507846.0,2529.65,2118.02,411.62,90970.26,90859.17,0.0,0.0
930,"01-02-2023","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",15.0,252439.0,358.16,652.53,-294.37,25866.88,26006.12,3.0,0.0
931,"01-02-2023","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",12.0,106466.0,65.86,260.85,-194.99,8664.21,8757.79,0.0,0.0
932,"01-02-2023","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",6.0,40448.0,369.26,25.87,343.39,4080.62,3926.87,0.0,0.0
933,"01-02-2023","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,220176.0,746.61,244.96,501.64,23364.69,23198.69,0.0,0.0
934,"01-02-2023","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,608447.0,3973.17,3311.37,661.8,114844.94,113775.33,0.0,0.0
935,"01-02-2023","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",15.0,247040.0,171.34,844.33,-672.99,24409.6,24610.7,3.0,0.0
936,"01-02-2023","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",23.0,298204.0,730.17,990.3,-260.13,73323.76,73466.21,0.0,0.0
937,"01-02-2023","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,171155.0,621.54,170.74,450.8,16794.65,16543.4,0.0,0.0
938,"01-02-2023","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",5.0,41728.0,191.39,54.31,137.08,1796.76,1751.39,0.0,0.0
939,"01-02-2023","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",12.0,241031.0,1264.05,2928.63,-1664.59,56323.56,57100.91,0.0,0.0
940,"01-02-2023","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",18.0,4075693.0,3158.26,1180.9,1977.36,66874.99,67908.59,0.0,0.0
941,"01-02-2023","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",31.0,12963430.0,3049.0,2695.12,353.87,235167.67,240356.5,0.0,0.0
942,"01-02-2023","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",26.0,7748622.0,3123.86,1472.86,1651.0,126648.36,128001.42,0.0,0.0
943,"01-02-2023","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",29.0,10499596.0,3490.78,1674.12,1816.66,183246.27,184425.02,0.0,0.0
944,"01-02-2023","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,10671838.0,3453.83,1207.53,2246.3,131568.46,132162.75,0.0,0.0
945,"01-02-2023","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",8.0,596908.0,128.62,80.69,47.93,10183.11,10332.35,0.0,0.0
946,"01-02-2023","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",22.0,4602572.0,1445.87,732.71,713.16,89509.94,90729.76,0.0,0.0
947,"01-02-2023","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",26.0,5321370.0,1502.51,1262.26,240.25,99014.41,100666.6,0.0,0.0
948,"01-02-2023","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",125.0,13118546.0,6554.69,2698.79,3855.9,168775.22,169394.32,0.0,0.0
949,"01-02-2023","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",42.0,14968197.0,2284.4,1303.26,981.14,149998.13,152361.59,0.0,0.0
950,"01-02-2023","Flexi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",35.0,12664386.0,4283.87,2481.87,1802.0,240790.97,244285.6,0.0,0.0
951,"01-02-2023","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",20.0,518630.0,331.78,424.11,-92.33,22716.05,22912.94,1.0,0.0
952,"01-02-2023","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",31.0,5316109.0,1865.97,1740.61,125.36,153637.06,156749.41,2.0,9.3273
953,"01-02-2023","Dynamic Asset Allocation/Balanced Advantage Fund","Open ended Schemes","Hybrid Schemes",28.0,4445077.0,2965.66,2907.85,57.81,191440.46,194454.69,0.0,0.0
954,"01-02-2023","Multi Asset Allocation Fund","Open ended Schemes","Hybrid Schemes",11.0,1031458.0,863.5,352.98,510.51,25947.52,27473.44,0.0,0.0
955,"01-02-2023","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",26.0,458666.0,4958.0,4893.36,64.65,77229.34,90669.4,0.0,0.0
956,"01-02-2023","Equity Savings Fund","Open ended Schemes","Hybrid Schemes",22.0,363214.0,334.53,540.22,-205.68,16444.57,17306.08,2.0,25.8129
957,"01-02-2023","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",26.0,2753542.0,211.89,111.91,99.98,17810.88,17986.3,0.0,0.0
958,"01-02-2023","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",10.0,2924260.0,109.29,39.84,69.46,14169.72,14297.23,0.0,0.0
959,"01-02-2023","Index Funds","Open ended Schemes","Other Schemes",163.0,3582822.0,9476.33,3232.03,6244.3,138814.08,136565.99,0.0,0.0
960,"01-02-2023","GOLD ETF","Open ended Schemes","Other Schemes",12.0,4693916.0,308.26,142.83,165.42,21399.72,21713.97,0.0,0.0
961,"01-02-2023","Other ETFs","Open ended Schemes","Other Schemes",155.0,11963506.0,14801.2,14772.27,28.93,481776.05,491599.72,0.0,0.0
962,"01-02-2023","Fund of funds investing overseas","Open ended Schemes","Other Schemes",49.0,1274592.0,444.05,394.52,49.53,21893.03,22464.72,0.0,0.0
963,"01-02-2023","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",107.0,137036.0,954.4,105.91,848.49,21741.5,21172.58,0.0,0.0
964,"01-02-2023","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",7.0,12654.0,0.0,0.0,0.0,635.81,637.08,0.0,0.0
965,"01-02-2023","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",7.0,52.0,0.0,0.0,0.0,1967.72,1963.58,0.0,0.0
966,"01-02-2023","Other Debt Scheme","Close Ended Schemes","Income/Debt Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,"01-02-2023","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",19.0,298874.0,0.0,28.9,-28.9,3440.15,3526.84,0.0,0.0
968,"01-02-2023","Other Equity Schemes","Close Ended Schemes","Growth/Equity Oriented Schemes",11.0,67552.0,0.01,0.0,0.01,3124.51,3165.7,0.0,0.0
969,"01-02-2023","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,"01-02-2023","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",12.0,2874.0,95.34,328.05,-232.71,631.31,796.55,0.0,0.0
971,"01-02-2023","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972,"01-02-2023","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
973,"01-02-2024","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",35.0,892025.0,414374.56,431750.17,-17375.61,67724.65,97290.99,0.0,0.0
974,"01-02-2024","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",36.0,1778681.0,372298.58,288656.25,83642.33,517403.72,497485.58,0.0,0.0
975,"01-02-2024","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",24.0,635543.0,13264.22,13626.69,-362.47,92070.55,91584.04,0.0,0.0
976,"01-02-2024","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,883315.0,8858.49,12958.87,-4100.38,95695.66,96913.23,0.0,0.0
977,"01-02-2024","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",23.0,433052.0,27980.55,27843.82,136.73,156455.19,153800.41,1.0,0.0
978,"01-02-2024","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",23.0,457312.0,4126.65,1781.08,2345.57,104796.56,103785.8,0.0,0.0
979,"01-02-2024","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",15.0,231903.0,219.6,607.46,-387.86,26157.7,26238.17,3.0,0.0
980,"01-02-2024","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",12.0,101160.0,142.56,149.16,-6.61,10528.85,10507.33,0.0,0.0
981,"01-02-2024","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",7.0,50699.0,700.52,69.14,631.38,11884.63,11527.99,0.0,0.0
982,"01-02-2024","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",22.0,219929.0,626.72,495.2,131.52,31509.04,31285.47,0.0,0.0
983,"01-02-2024","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,562839.0,7073.3,4044.44,3028.86,146747.48,144744.75,0.0,0.0
984,"01-02-2024","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",14.0,211281.0,43.21,409.11,-365.9,23305.35,23413.89,3.0,0.0
985,"01-02-2024","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",23.0,259627.0,1109.92,1590.0,-480.08,80249.69,80073.51,0.0,0.0
986,"01-02-2024","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,182215.0,1597.18,1057.78,539.4,27579.76,27198.67,0.0,0.0
987,"01-02-2024","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",5.0,38317.0,79.08,36.67,42.41,4649.45,4615.53,0.0,0.0
988,"01-02-2024","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",13.0,217967.0,2231.15,5841.62,-3610.47,53215.88,53973.81,0.0,0.0
989,"01-02-2024","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",24.0,5868656.0,3835.64,1421.6,2414.04,122258.1,121146.92,0.0,0.0
990,"01-02-2024","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",31.0,13489341.0,5205.9,4284.76,921.14,305940.65,304329.02,0.0,0.0
991,"01-02-2024","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",29.0,9105807.0,5304.99,2148.35,3156.64,200832.69,198380.73,0.0,0.0
992,"01-02-2024","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",29.0,13715842.0,5427.82,3619.64,1808.18,295682.94,294490.53,0.0,0.0
993,"01-02-2024","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,18664893.0,6897.37,3974.91,2922.45,249070.99,249079.06,0.0,0.0
994,"01-02-2024","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",9.0,855919.0,568.65,474.64,94.01,23618.09,23529.74,0.0,0.0
995,"01-02-2024","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",23.0,6007105.0,3175.52,1308.37,1867.15,147098.26,145849.92,0.0,0.0
996,"01-02-2024","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",28.0,5075441.0,1806.06,2338.94,-532.89,126471.02,126411.07,0.0,0.0
997,"01-02-2024","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",155.0,17430950.0,17655.98,6393.26,11262.72,287899.15,279271.88,0.0,0.0
998,"01-02-2024","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",42.0,15860893.0,2469.26,2130.14,339.11,209354.38,208094.43,0.0,0.0
999,"01-02-2024","Flexi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",38.0,14002857.0,6575.47,3962.25,2613.23,344169.76,341202.16,0.0,0.0
1000,"01-02-2024","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",19.0,535328.0,406.57,512.59,-106.02,26701.84,26684.8,1.0,0.0
1001,"01-02-2024","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",31.0,5385542.0,2639.37,2610.03,29.34,193738.88,193518.33,2.0,9.3273
1002,"01-02-2024","Dynamic Asset Allocation/Balanced Advantage Fund","Open ended Schemes","Hybrid Schemes",32.0,4564056.0,4835.73,3548.9,1286.83,245822.02,244820.67,0.0,0.0
1003,"01-02-2024","Multi Asset Allocation Fund","Open ended Schemes","Hybrid Schemes",21.0,1930545.0,4888.13,844.93,4043.2,64695.33,65769.32,0.0,0.0
1004,"01-02-2024","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",27.0,482770.0,22964.53,11456.37,11508.15,150768.5,173873.51,0.0,0.0
1005,"01-02-2024","Equity Savings Fund","Open ended Schemes","Hybrid Schemes",22.0,401223.0,2378.88,1035.3,1343.58,28650.57,28606.81,2.0,25.8129
1006,"01-02-2024","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",27.0,2857232.0,278.57,162.17,116.4,24924.14,24779.81,0.0,0.0
1007,"01-02-2024","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",11.0,2976977.0,139.68,72.95,66.73,18851.75,18797.86,0.0,0.0
1008,"01-02-2024","Index Funds","Open ended Schemes","Other Schemes",203.0,7214044.0,5669.5,3133.12,2536.37,209786.56,207616.6,0.0,0.0
1009,"01-02-2024","GOLD ETF","Open ended Schemes","Other Schemes",17.0,5023955.0,1031.13,33.91,997.22,28529.88,27924.61,0.0,0.0
1010,"01-02-2024","Other ETFs","Open ended Schemes","Other Schemes",186.0,13464269.0,17059.73,10598.06,6461.67,644835.26,639443.97,0.0,0.0
1011,"01-02-2024","Fund of funds investing overseas","Open ended Schemes","Other Schemes",54.0,1551981.0,365.05,604.22,-239.17,24932.31,24686.67,0.0,0.0
1012,"01-02-2024","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",93.0,77445.0,250.75,421.84,-171.08,17981.02,17955.97,0.0,0.0
1013,"01-02-2024","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1014,"01-02-2024","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",5.0,41.0,0.0,0.0,0.0,1621.37,1616.54,0.0,0.0
1015,"01-02-2024","Other Debt Scheme","Close Ended Schemes","Income/Debt Oriented Schemes",1.0,213585.0,23.99,61.73,-37.74,5290.76,5308.67,0.0,0.0
1016,"01-02-2024","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",19.0,280367.0,0.0,26.16,-26.16,4092.27,4105.14,0.0,0.0
1017,"01-02-2024","Other Equity Schemes","Close Ended Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,136.56,-136.56,0.0,98.05,0.0,0.0
1018,"01-02-2024","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019,"01-02-2024","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",12.0,2606.0,89.57,86.13,3.44,621.53,655.04,0.0,0.0
1020,"01-02-2024","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,"01-02-2024","Other Schemes","Interval Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,"01-01-2020","Overnight Fund","Open ended Schemes","Income/Debt Oriented Schemes",30.0,46763.0,526475.95,503823.55,22652.4,54578.73,52524.98,"",""
1023,"01-01-2020","Liquid Fund","Open ended Schemes","Income/Debt Oriented Schemes",40.0,1779897.0,490171.9,430489.61,59682.29,485061.76,516038.89,"",""
1024,"01-01-2020","Ultra Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",29.0,923362.0,25319.36,17166.61,8152.75,100503.48,100317.43,"",""
1025,"01-01-2020","Low Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",26.0,1117109.0,16044.58,10482.49,5562.09,97526.78,97460.6,"",""
1026,"01-01-2020","Money Market Fund","Open ended Schemes","Income/Debt Oriented Schemes",19.0,358980.0,28691.63,21701.99,6989.65,81256.15,81955.83,"",""
1027,"01-01-2020","Short Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",28.0,500225.0,6124.49,3220.86,2903.63,99389.37,98418.88,"",""
1028,"01-01-2020","Medium Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",16.0,266169.0,659.15,912.07,-252.92,30439.71,30554.96,"",""
1029,"01-01-2020","Medium to Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",13.0,108334.0,63.43,150.49,-87.06,9835.8,9847.51,"",""
1030,"01-01-2020","Long Duration Fund","Open ended Schemes","Income/Debt Oriented Schemes",2.0,25452.0,22.76,24.71,-1.95,1471.08,1463.68,"",""
1031,"01-01-2020","Dynamic Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",28.0,269892.0,472.48,556.23,-83.74,18638.16,18749.79,"",""
1032,"01-01-2020","Corporate Bond Fund","Open ended Schemes","Income/Debt Oriented Schemes",20.0,359308.0,3981.83,2012.52,1969.32,81488.5,80433.26,"",""
1033,"01-01-2020","Credit Risk Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,574494.0,783.91,1998.62,-1214.7,61611.44,62153.99,"",""
1034,"01-01-2020","Banking and PSU Fund","Open ended Schemes","Income/Debt Oriented Schemes",19.0,162159.0,4699.6,1666.66,3032.93,74561.89,73010.95,"",""
1035,"01-01-2020","Gilt Fund","Open ended Schemes","Income/Debt Oriented Schemes",21.0,100830.0,355.28,867.91,-512.63,8416.8,8582.52,"",""
1036,"01-01-2020","Gilt Fund with 10 year constant duration","Open ended Schemes","Income/Debt Oriented Schemes",4.0,30997.0,47.49,30.81,16.68,784.17,780.09,"",""
1037,"01-01-2020","Floater Fund","Open ended Schemes","Income/Debt Oriented Schemes",7.0,164375.0,6044.78,5547.91,496.88,36173.33,36721.94,"",""
1038,"01-01-2020","Multi Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",35.0,9032263.0,4203.43,2481.14,1722.29,155925.12,155669.57,"",""
1039,"01-01-2020","Large Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",30.0,9679200.0,3883.18,2729.18,1154.0,154135.12,156102.71,"",""
1040,"01-01-2020","Large & Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",27.0,4633824.0,1834.19,1141.75,692.45,58771.7,58326.03,"",""
1041,"01-01-2020","Mid Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",26.0,6350812.0,3290.87,1492.71,1798.16,91197.41,88523.17,"",""
1042,"01-01-2020","Small Cap Fund","Open ended Schemes","Growth/Equity Oriented Schemes",21.0,5032844.0,2093.89,1021.21,1072.68,52481.61,51161.23,"",""
1043,"01-01-2020","Dividend Yield Fund","Open ended Schemes","Growth/Equity Oriented Schemes",6.0,475387.0,22.55,86.31,-63.76,4415.61,4498.96,"",""
1044,"01-01-2020","Value Fund/Contra Fund","Open ended Schemes","Growth/Equity Oriented Schemes",18.0,4184889.0,812.8,1551.88,-739.08,55674.98,56478.56,"",""
1045,"01-01-2020","Focused Fund","Open ended Schemes","Growth/Equity Oriented Schemes",22.0,3395744.0,2165.99,860.85,1305.14,50209.25,49529.07,"",""
1046,"01-01-2020","Sectoral/Thematic Funds","Open ended Schemes","Growth/Equity Oriented Schemes",99.0,6438371.0,1723.83,1720.03,3.8,65598.66,65727.48,"",""
1047,"01-01-2020","ELSS","Open ended Schemes","Growth/Equity Oriented Schemes",44.0,12074850.0,1889.97,958.24,931.72,101228.06,101540.85,"",""
1048,"01-01-2020","Conservative Hybrid Fund","Open ended Schemes","Hybrid Schemes",21.0,395884.0,96.0,421.36,-325.36,12732.01,12969.3,"",""
1049,"01-01-2020","Balanced Hybrid Fund/Aggressive Hybrid Fund","Open ended Schemes","Hybrid Schemes",33.0,5286230.0,2659.54,3919.54,-1260.0,133639.72,135885.87,"",""
1050,"01-01-2020","Dynamic Asset Allocation/Balanced Advantage","Open ended Schemes","Hybrid Schemes",22.0,2598167.0,3211.95,1911.3,1300.64,98056.08,98990.26,"",""
1051,"01-01-2020","Multi Asset Allocation","Open ended Schemes","Hybrid Schemes",7.0,612841.0,537.09,277.21,259.88,13304.52,13534.19,"",""
1052,"01-01-2020","Arbitrage Fund","Open ended Schemes","Hybrid Schemes",24.0,298442.0,5838.66,4138.64,1700.02,85460.04,85980.64,"",""
1053,"01-01-2020","Equity Savings","Open ended Schemes","Hybrid Schemes",23.0,339436.0,159.2,574.87,-415.67,14278.19,14676.81,"",""
1054,"01-01-2020","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",24.0,2542988.0,240.58,152.26,88.32,10425.28,10439.31,"",""
1055,"01-01-2020","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",9.0,2892610.0,70.44,42.13,28.3,8748.4,8749.05,"",""
